year,month,open ,high,low,close,volume
2016,4,110.42,112.19,108.121,108.66,145722543
2016,4,106,110.42,104.88,109.99,147965003
2016,3,105.93,107.65,104.89,105.67,119783503
2016,3,101.91,106.5,101.78,105.92,182073165
2016,3,102.39,102.83,100.15,102.26,155221501
2016,3,96.86,103.75,96.65,103.01,201803826
2016,2,96.31,98.0237,93.32,96.91,159052926
2016,2,95.02,98.89,94.61,96.04,168316315
2016,2,93.13,96.35,92.59,93.99,231122263
2016,2,96.47,97.33,93.69,94.02,217154766
2016,1,101.52,101.53,92.39,97.34,380336530
2016,1,98.41,101.46,93.42,101.42,243384093
2016,1,98.97,101.19,95.36,97.13,304337253
2016,1,102.61,105.85,96.43,96.96,343790211
2015,12,107.59,109.43,104.82,105.26,123761546
2015,12,107.28,109,105.57,108.03,126634011
2015,12,112.18,112.8,105.81,106.03,315791335
2015,12,118.98,119.86,112.851,113.18,188853944
2015,12,117.99,119.41,114.22,119.03,206765745
2015,11,119.27,119.73,117.12,117.81,109720453
2015,11,111.38,119.92,111,119.3,189947415
2015,11,120.96,121.81,112.27,112.34,216555289
2015,11,119.87,123.82,119.61,121.06,195203256
2015,10,118.08,121.22,113.99,119.5,322362121
2015,10,110.8,119.228,110.11,119.08,222074893
2015,10,112.73,112.75,109.56,111.04,184884970
2015,10,109.88,112.28,108.21,112.12,262432987
2015,10,113.85,114.57,107.31,110.38,311138027
2015,9,113.67,116.69,112.37,114.71,242696241
2015,9,116.58,116.89,111.87,113.45,277276007
2015,9,111.65,114.21,109.77,114.21,252662734
2015,9,112.13,114.53,107.36,109.27,298194194
2015,8,94.87,113.31,92,113.29,500362965
2015,8,116.04,117.65,105.645,105.76,320509056
2015,8,116.53,119.99,109.63,115.96,345185326
2015,8,121.5,122.57,112.1,115.52,384072497
2015,7,123.09,123.91,120.91,121.3,191598511
2015,7,130.97,132.97,121.99,124.5,344269021
2015,7,125.03,129.62,124.32,129.62,189245034
2015,7,124.94,126.23,119.22,123.28,275718368
2015,7,125.46,126.94,124.48,126.44,150981872
2015,6,127.49,129.8,126.51,126.75,195594004
2015,6,126.1,128.31,125.71,126.6,198525255
2015,6,128.9,130.18,125.62,127.17,220114589
2015,6,131.2,131.39,128.36,128.65,170840884
2015,5,132.6,132.91,129.12,130.28,198148567
2015,5,128.38,132.97,128.36,132.54,217297426
2015,5,127.39,129.49,124.82,128.77,208301514
2015,5,129.5,130.57,123.36,127.62,271891981
2015,5,132.31,134.54,124.58,128.95,420972321
2015,4,125.57,130.63,125.17,130.28,207440679
2015,4,128.37,128.57,124.46,124.75,171186168
2015,4,124.47,128.1218,124.33,127.1,182207413
2015,4,124.05,126.49,123.1,125.32,162031791
2015,3,127.12,128.04,122.6,123.25,209326175
2015,3,123.88,129.2451,122.87,125.9,266672975
2015,3,127.96,129.57,121.63,123.59,326514045
2015,3,129.25,130.28,125.76,126.6,246938492
2015,2,130.02,133.6,126.61,128.46,368216362
2015,2,127.49,129.5,126.92,129.495,194354942
2015,2,118.55,127.48,118.43,127.08,303206785
2015,2,118.05,120.51,116.08,118.93,270757404
2015,1,113.74,120,109.03,117.16,465842684
2015,1,107.84,113.75,106.5,112.98,198737041
2015,1,112.6,112.8,105.2,105.99,304226647
2015,1,108.29,113.25,104.63,112.01,282868187
2015,1,113.79,114.77,107.35,109.33,152088374
2014,12,112.16,114.52,111.97,113.99,119396530
2014,12,110.7,113.24,106.26,111.78,328856576
2014,12,114.1,114.85,109.35,109.73,259937920
2014,12,118.81,119.25,111.27,115,266701088
2014,11,116.85,119.75,116.62,118.93,100105403
2014,11,114.27,117.57,113.3,116.47,233414685
2014,11,109.02,114.19,108.4,114.18,205166680
2014,11,108.22,110.3,107.72,109.01,199952812
2014,10,104.85,108.04,104.7,108,220230607
2014,10,98.315,105.49,98.22,105.22,358532919
2014,10,101.33,101.78,95.18,97.67,358539741
2014,10,99.95,102.38,98.31,100.73,280258156
2014,10,98.65,101.54,98.04,99.62,247749150
2014,9,101.8,102.94,97.72,100.75,337730724
2014,9,102.81,103.05,98.89,100.96,296789500
2014,9,99.3,103.08,96.14,101.66,461559500
2014,9,103.06,103.74,97.79,98.97,322672500
2014,8,101.79,102.9,100.7,102.5,233048700
2014,8,98.49,101.47,97.98,101.32,246983800
2014,8,95.27,98.19,94.8355,97.98,179363000
2014,8,96.37,96.58,93.28,94.74,223025000
2014,8,97.82,99.44,94.81,96.13,236825000
2014,7,94.99,97.88,93.72,97.671,276392000
2014,7,95.86,97.1,92.57,94.43,249075900
2014,7,94.14,96.8,93.52,95.22,231830000
2014,7,92.1,94.1,92.09,94.03,139168800
2014,6,91.32,92,89.65,91.98,216257000
2014,6,91.51,92.75,90.9,90.91,235227000
2014,6,92.7,95.05,90.88,91.28,293146997
2014,6,633.96,651.26,622.5,645.57,58974500
2014,5,615.88,644.17,615.63,633,57315800
2014,5,597.85,614.7293,597.33,614.13,42229300
2014,5,587.49,597.53,585.4,597.51,37373300
2014,5,590.14,604.4099,580.33,585.5425,52371100
2014,5,572.8,599.43,572.55,592.58,67823800
2014,4,525.34,571.99,523.96,571.94,68937100
2014,4,521.9,527.76,511.33,524.94,34688000
2014,4,528.02,532.24,517.14,519.61,44688500
2014,4,539.23,543.48,530.58,531.82,35265900
2014,3,538.42,549,534.25,536.86,48584200
2014,3,527.7,536.24,525.2001,532.87,43442600
2014,3,528.36,539.66,523,524.69,41145600
2014,3,523.42,534.75,522.81,530.44,39435800
2014,2,523.15,532.75,515.6,526.24,52533200
2014,2,546,551.19,524.6,525.25,41380800
2014,2,518.66,545.9799,518,543.99,54151400
2014,2,502.61,522.9299,499.3,519.68,61947700
2014,1,550.07,554.8,493.55,500.6,116661100
2014,1,540.99,557.29,540.42,546.07,55039500
2014,1,529.91,560.2,529.88,540.67,62811100
2014,1,537.45,546.86,531.11,532.94,56159800
2014,1,557.46,561.28,540.43,540.98,39423800
2013,12,568,571.88,559.5,560.09,39241200
2013,12,555.02,562.6389,538.8,549.02,65538600
2013,12,560.9001,570.97,553.67,554.43,55485500
2013,12,558,575.1358,550.82,560.02,74759100
2013,11,521.02,558.33,521,556.07,46866800
2013,11,524.99,527.19,513.67,519.8,40484000
2013,11,519.99,529.28,514.41,524.991,43903200
2013,11,521.1,528.885,512.38,520.56,45541200
2013,11,529.04,539.25,514.54,520.03,74678500
2013,10,511.77,533.23,508.03,525.958,70301800
2013,10,489.83,509.26,489.35,508.89,49186000
2013,10,486.56,493.84,478.28,492.812,51831300
2013,10,477.25,492.35,474.411,483.03,53030200
2013,9,496.1,496.91,480.72,482.75,68166800
2013,9,461,478.55,447.22,467.41,89421200
2013,9,505,507.92,464.7,464.9,95909500
2013,9,493.1,502.24,487.35,498.22,45459100
2013,8,500.75,510.2,486,487.216,56239900
2013,8,504.34,513.74,498.2,501.02,59715200
2013,8,456.86,504.25,456.63,502.33,101976700
2013,8,464.69,471.89,453.65,454.45,52686200
2013,8,440.8,462.85,440.2,462.54,48624000
2013,7,429.46,444.59,418.71,440.99,57099100
2013,7,425.01,434.87,424.17,424.95,40894500
2013,7,420.11,429.79,410.38,426.51,54928000
2013,7,402.69,423.29,401.22,417.42,49138300
2013,6,407.4,408.66,388.87,396.53,74228400
2013,6,431.44,435.7,408.1001,413.5,57278900
2013,6,444.73,449.079,428.5,430.05,55685400
2013,6,450.73,454.43,432.77,441.811,63469300
2013,5,449.9,457.1,439.4,449.735,51948000
2013,5,431.91,448.3499,430.1,445.15,70708100
2013,5,451.51,457.9,418.9,433.26,90599600
2013,5,455.71,465.75,450.48,452.97,78083300
2013,5,420.45,453.23,420,449.98,93639400
2013,4,392.64,418.769,391.275,417.205,114740900
2013,4,427,427.89,385.1,390.53,101568600
2013,4,424.85,437.99,422.49,429.8,55369600
2013,4,441.9,443.698,419.68,423.2,72307500
2013,3,464.69,469.95,441.62,442.66,56053800
2013,3,441.45,462.1,441.2,461.91,79285500
2013,3,429.7499,444.23,425.14,443.66,81911900
2013,3,427.8,435.43,419,431.72,90764100
2013,3,453.85,455.12,429.98,430.47,83442600
2013,2,461.1,462.73,442.82,450.81,60354400
2013,2,476.5,484.94,459.92,460.16,83884700
2013,2,453.91,478.81,442,474.98,106496800
2013,2,437.825,462.6,435.86,453.62,94023200
2013,1,504.56,514.99,435,439.88,142569100
2013,1,502.68,510.75,483.38,500,115299500
2013,1,522,531.89,515.2,520.3,82218600
2013,1,510.53,555,509,527,77403900
2012,12,520.35,524.25,504.66,509.5892,45985300
2012,12,508.93,534.9,501.23,519.33,103950700
2012,12,525,549.56,505.58,509.794,119457600
2012,12,593.65,594.59,518.63,533.25,140365700
2012,11,575.9,594.25,572.26,585.28,92528300
2012,11,540.7097,572,539.88,571.5,75425000
2012,11,554.15,554.5,505.7501,527.678,127954500
2012,11,583.515,590.74,533.72,547.06,131562900
2012,11,594.88,603,574.75,576.8,52524100
2012,10,612.42,635.38,591,604,124541500
2012,10,632.35,652.79,609.62,609.84,92572200
2012,10,646.88,647.56,623.55,629.714,106894400
2012,10,671.5,676.75,650.65,652.59,91450000
2012,9,686.86,695.12,660.35,667.105,102295000
2012,9,699.35,705.07,693.62,700.095,71663100
2012,9,680.45,696.98,656,691.28,103680300
2012,9,665.76,682.48,664.5,680.44,50897500
2012,8,679.99,680.87,657.25,665.24,54937600
2012,8,650.01,674.88,648.11,663.222,101746300
2012,8,623.39,648.19,623.25,648.11,56201400
2012,8,617.29,625,615.26,621.7,44779900
2012,8,590.92,617.98,587.82,615.7,67966100
2012,7,594.4,609.68,570,585.16,97892500
2012,7,605.12,615.35,603.15,604.3,60068500
2012,7,605.3,619.87,592.68,604.97,75005500
2012,7,584.73,614.34,583.6,605.88,55182800
2012,6,577.3,584,565.61,584,53151900
2012,6,570.96,590,570.37,582.1,63270800
2012,6,587.72,588.5,566.7,574.13,71466200
2012,6,561.5,580.584,548.5,580.32,74069600
2012,6,570.9,581.5,560.52,560.99,68664300
2012,5,534.5,576.5,534.05,562.29,97700400
2012,5,562.57,567.51,522.18,530.38,101406100
2012,5,561.5,575.88,558.73,566.71,77529300
2012,5,597.8,598.4,565.17,565.25,88038400
2012,4,570.61,618,555,603,138973100
2012,4,610.06,620.25,570.42,572.98,174876800
2012,4,626.13,644,603.51,605.23,130637800
2012,4,601.83,634.66,600.38,633.68,94542500
2012,3,599.79,621.45,595.26,599.55,114200300
2012,3,598.37,609.65,582,596.05,122010700
2012,3,548.982,600.01,547,585.57,160792400
2012,3,545.42,547.74,516.221,545.17,119759300
2012,3,521.31,548.21,516.28,545.18,114820100
2012,2,506.88,522.9,504.12,522.41,73999900
2012,2,499.53,526.29,486.63,502.12,141574700
2012,2,458.38,497.62,458.201,493.42,88894400
2012,2,445.71,460,445.39,459.68,54088100
2012,1,422.67,454.45,419.55,447.28,86989600
2012,1,424.2,431.369,419.75,420.3,42692900
2012,1,425.5001,427.75,418.66,419.81,46639800
2012,1,409.4,422.75,409,422.4,41135900
2011,12,403.1,409.09,400.51,405,31763500
2011,12,382.47,403.59,380.48,403.33,46694700
2011,12,391.68,395.4,377.68,381.02,61591500
2011,12,393.49,396.41,386.7625,393.62,57818000
2011,12,372.35,393.6299,370.2,389.7,67658700
2011,11,370.4,377.93,363.32,363.57,55001200
2011,11,383.5201,391.14,374.88,374.94,73741600
2011,11,399.91,408,380.26,384.62,93855000
